C001;C002;C003;C004;C005;C006;C007;C008;C009;C010;C011;C012;C013;C014;C015;C016;C017;C018;C019;C020;C021;C022;C023;C024;C025;C026;C027;C028;C029;C030;C031;C032;C033;C034;C035;C036;C037;C038;C039;C040;C041;C042;C043;C044;C045;C046;C047;C048;C049;C050;C051;C052;C053;C054;C055;C056;C057;C058;C059;C060;C061;C062;C063;C064;C065;C066;C067;C068;C069;C070;C071;C072;C073;C074;C075;C076;C077;C078;C079;C080;C081;C116;C082;C083;C084;C085;C086;C087;C088;C089;C090;C091;C092;C093;C094;C095;C096;C097;C098;C099;C100;C101;C102;C103;C104;C105;C106;C107;C108;C109;C110;C111;C112;C113;C114;C115;
W026;Arthropoda;Arachnida;Araneae;Philodromidae;Philodrominae;Thanatus;Thanatus striatus;;0;2;0;2;0;182;3;0;0;0;0;0;181, 182;0;3;0;0;0;0;46, 182;NF;NF;NF;NF;NF;NF;0;2;2;0;0;182;3;0;"182;e";0;0;0;0;3;0;37, 182;2;1;0;0;0;0;0;1;0;"182;m, 212;m";0;0;2;0;0;2;"182;a;m";NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;2;0;0;2;"182;a;m";NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W027;Arthropoda;Arachnida;Araneae;Theridiidae;Tetragnathinae;Pachygnatha;Pachygnatha clercki;2,3,14,16,21;2;1;0;2;0;46, 182;3;0;0;0;0;0;90, 181, 182;0;0;3;0;0;0;46, 181, 182;NF;NF;NF;NF;NF;NF;3;0;0;0;0;181, 182;3;0;"181;a, 182;a";0;0;0;0;3;0;37, 182;2;2;0;0;0;0;0;1;0;"46, 46;m, 181;a, 182;a";0;0;2;0;0;2;90;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;0;0;0;3;90;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W028;Arthropoda;Arachnida;Araneae;Thomisidae;Thomisinae;Xysticus;;;NF;2;NF;1;0;"49;q";NF;NF;NF;NF;NF;NF;NF;0;2;2;0;0;0;46;NF;NF;NF;NF;NF;NF;0;3;0;0;0;122;2;1;"49;q";0;0;0;0;3;0;37;2;NF;NF;NF;NF;NF;NF;1;NF;"46;q, 49;q";NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W029;Arthropoda;Insecta;Coleoptera;Anthicidae;Anthicinae;Anthicus;Anthicus bimaculatus;;1;2;0;1;0;"208;d";2;1;0;0;0;0;"208;m";0;3;0;0;0;0;208;NF;NF;NF;NF;NF;NF;3;0;0;0;0;208;2;1;"208;m";0;3;0;0;0;0;"208;d";1;0;2;0;0;0;0;0;0;"208;m";0;3;0;0;0;0;"208;c";NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;2;2;0;0;0;"208;c";NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W030;Arthropoda;Insecta;Coleoptera;Anthicidae;Anthicinae;Notoxus;Notoxus monoceros;;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W031;Arthropoda;Insecta;Coleoptera;Carabidae;Broscinae;Broscus;Broscus cephalotes;1,16,20;0;2;2;0;0;36;2;0;0;2;1;1;"23, 36;m";0;0;0;3;0;0;23, 36,45, 61;0;0;2;1;0;39;0;0;3;0;0;23, 36;0;3;36;0;0;0;0;3;0;36, 56;2;0;0;0;1;0;0;0;0;36;0;0;3;0;0;0;23, 36, 50;0;0;2;2;36;0;2;2;0;40, 50;0;0;3;0;0;36, 50;0;0;2;2;"40;b, 41;c";0;0;0;3;0;0;0;36, 61;2;1;0;0;0;0;0;40, 50;0;0;2;1;23, 36, 50;3;0;0;0;0;"36;m, 50;m";
W032;Arthropoda;Insecta;Coleoptera;Carabidae;Cicindelidae;Cicindela;Cicindela hybrida;1,18,14,20;0;2;2;1;0;36;3;0;0;0;0;0;36;0;0;2;1;0;0;23, 45, 61;0;0;0;3;0;36;0;2;2;0;0;36;3;0;36;0;0;0;0;3;0;"36, 67;d";2;0;0;1;0;0;0;0;0;36;0;3;0;0;0;0;36;0;3;0;0;36;0;0;3;0;36;0;0;3;0;0;36;0;0;0;3;"41;d, 42;d";0;0;0;0;0;0;3;36, 61;2;1;0;0;0;0;0;"42;d";0;0;2;2;51;3;0;0;0;0;"36;m";
W033;Arthropoda;Insecta;Coleoptera;Carabidae;Cicindelidae;Cicindela;Cicindela maritima;19,21,26;0;2;2;1;0;36;3;0;0;0;0;0;36;0;0;3;0;0;0;19, 23, 45, 61;0;0;0;3;0;36;0;2;2;0;0;36;3;0;36;0;0;0;0;3;0;"36;d, 67;d";2;0;0;1;0;0;0;0;0;36;0;3;0;0;0;0;36;0;3;0;0;36;0;0;3;0;36;0;0;3;0;0;36;0;0;0;3;"41;d, 42;d";0;0;0;0;0;0;3;36, 61;2;1;0;0;0;0;0;"42;d";0;0;2;2;52;3;0;0;0;0;52;
W034;Arthropoda;Insecta;Coleoptera;Carabidae;Harpalinae;Acupalpus;Acupalpus dubius;;0;1;0;2;0;36, 53;3;0;0;0;0;0;"53;m";0;3;0;0;0;0;"36;d, 45, 61";0;0;1;2;0;"36;d, 54, 54;e";0;3;0;0;0;36;3;0;36;0;0;0;0;3;0;39,43;2;0;0;1;0;0;0;0;0;"36;d";0;0;3;0;0;0;"57;k, 39:k, 60;k";0;3;0;0;"36;d, 54";0;3;0;0;"39;c, 36;d";0;3;0;0;0;a;0;0;3;0;"41;i";0;0;0;3;0;0;0;61;3;0;0;0;0;0;0;"55;b;d";0;0;0;3;"36;d, 56";0;0;0;0;1;"36;d, 56";
W035;Arthropoda;Insecta;Coleoptera;Carabidae;Harpalinae;Acupalpus;Acupalpus parvulus;;0;1;0;2;0;"36, 54;d";3;0;0;0;0;0;"54;d";0;3;0;0;0;0;"36;d, 45, 61";0;0;1;2;0;"36;d, 54;e";0;3;0;0;0;36;3;0;36;0;0;0;0;3;0;39,44;2;0;0;2;0;0;0;0;0;"36;d";0;0;3;0;0;0;"57;k, 39:k, 60;k";0;3;0;0;"36;d";0;3;0;0;"39;c, 36;d";0;3;0;0;0;a;0;0;3;0;"41;i";0;0;3;0;0;0;0;61;3;0;0;0;0;0;0;"55;b;d";0;0;0;3;"36;d, 56";0;0;0;0;1;"36;d, 56";
